grade,semester,unit_no,unit_name,word,phonetic_uk,phonetic_us,meaning_cn,part_of_speech,example_en,example_cn
3,上,1,Unit 1 Hello!,ruler,/ˈruːlə/,/ˈruːlər/,尺子,n.,I have a ruler.,我有一把尺子。
3,上,1,Unit 1 Hello!,pencil,/ˈpensl/,/ˈpensl/,铅笔,n.,This is my pencil.,这是我的铅笔。
3,上,1,Unit 1 Hello!,eraser,/ɪˈreɪzə/,/ɪˈreɪsər/,橡皮,n.,Can I use your eraser?,我可以用你的橡皮吗？
3,上,1,Unit 1 Hello!,crayon,/ˈkreɪən/,/ˈkreɪən/,蜡笔,n.,She has a red crayon.,她有一支红色的蜡笔。
3,上,1,Unit 1 Hello!,book,/bʊk/,/bʊk/,书,n.,Open your book.,打开你的书。
3,上,1,Unit 1 Hello!,pencil box,/ˈpensl bɒks/,/ˈpensl bɑːks/,铅笔盒,n.,My pen is in the pencil box.,我的钢笔在铅笔盒里。
3,上,1,Unit 1 Hello!,bag,/bæɡ/,/bæɡ/,书包,n.,I put my books in the bag.,我把书放进书包里。
3,上,2,Unit 2 Look at Me,head,/hed/,/hed/,头,n.,Touch your head.,摸摸你的头。
3,上,2,Unit 2 Look at Me,face,/feɪs/,/feɪs/,脸,n.,She has a round face.,她有一张圆脸。
3,上,2,Unit 2 Look at Me,nose,/nəʊz/,/noʊz/,鼻子,n.,Point to your nose.,指着你的鼻子。
3,上,2,Unit 2 Look at Me,eye,/aɪ/,/aɪ/,眼睛,n.,I have two eyes.,我有两只眼睛。
3,上,2,Unit 2 Look at Me,ear,/ɪə/,/ɪr/,耳朵,n.,Cover your ears.,捂住你的耳朵。
3,上,2,Unit 2 Look at Me,mouth,/maʊθ/,/maʊθ/,嘴巴,n.,Open your mouth.,张开你的嘴巴。
3,上,2,Unit 2 Look at Me,arm,/ɑːm/,/ɑːrm/,胳膊,n.,Raise your arm.,举起你的胳膊。
3,上,2,Unit 2 Look at Me,hand,/hænd/,/hænd/,手,n.,Clap your hands.,拍拍你的手。
3,上,2,Unit 2 Look at Me,leg,/leɡ/,/leɡ/,腿,n.,Stamp your foot.,跺跺你的脚。
3,上,2,Unit 2 Look at Me,foot,/fʊt/,/fʊt/,脚,n.,My foot hurts.,我的脚疼。
3,上,3,Unit 3 Let's Paint,red,/red/,/red/,红色,n./adj.,The apple is red.,苹果是红色的。
3,上,3,Unit 3 Let's Paint,yellow,/ˈjeləʊ/,/ˈjeloʊ/,黄色,n./adj.,The banana is yellow.,香蕉是黄色的。
3,上,3,Unit 3 Let's Paint,green,/ɡriːn/,/ɡriːn/,绿色,n./adj.,The grass is green.,草地是绿色的。
3,上,3,Unit 3 Let's Paint,blue,/bluː/,/bluː/,蓝色,n./adj.,The sky is blue.,天空是蓝色的。
3,上,3,Unit 3 Let's Paint,black,/blæk/,/blæk/,黑色,n./adj.,The cat is black.,这只猫是黑色的。
3,上,3,Unit 3 Let's Paint,white,/waɪt/,/waɪt/,白色,n./adj.,The snow is white.,雪是白色的。
3,上,3,Unit 3 Let's Paint,orange,/ˈɒrɪndʒ/,/ˈɔːrɪndʒ/,橙色,n./adj.,The orange is orange.,橙子是橙色的。
3,上,3,Unit 3 Let's Paint,brown,/braʊn/,/braʊn/,棕色,n./adj.,The bear is brown.,熊是棕色的。
3,上,4,Unit 4 We Love Animals,pig,/pɪɡ/,/pɪɡ/,猪,n.,The pig is fat.,这头猪很胖。
3,上,4,Unit 4 We Love Animals,bear,/beə/,/ber/,熊,n.,The bear is big.,熊很大。
3,上,4,Unit 4 We Love Animals,duck,/dʌk/,/dʌk/,鸭子,n.,The duck can swim.,鸭子会游泳。
3,上,4,Unit 4 We Love Animals,elephant,/ˈelɪfənt/,/ˈelɪfənt/,大象,n.,The elephant has a long nose.,大象有一个长鼻子。
3,上,4,Unit 4 We Love Animals,monkey,/ˈmʌŋki/,/ˈmʌŋki/,猴子,n.,The monkey is clever.,猴子很聪明。
3,上,4,Unit 4 We Love Animals,bird,/bɜːd/,/bɜːrd/,鸟,n.,The bird can fly.,鸟会飞。
3,上,4,Unit 4 We Love Animals,tiger,/ˈtaɪɡə/,/ˈtaɪɡər/,老虎,n.,The tiger is strong.,老虎很强壮。
3,上,4,Unit 4 We Love Animals,panda,/ˈpændə/,/ˈpændə/,熊猫,n.,The panda is cute.,熊猫很可爱。
3,上,4,Unit 4 We Love Animals,zoo,/zuː/,/zuː/,动物园,n.,Let's go to the zoo.,我们去动物园吧。
3,上,5,Unit 5 Let's Eat,bread,/bred/,/bred/,面包,n.,I like bread.,我喜欢面包。
3,上,5,Unit 5 Let's Eat,juice,/dʒuːs/,/dʒuːs/,果汁,n.,Can I have some juice?,我能喝点果汁吗？
3,上,5,Unit 5 Let's Eat,egg,/eɡ/,/eɡ/,鸡蛋,n.,I eat an egg for breakfast.,我早餐吃了一个鸡蛋。
3,上,5,Unit 5 Let's Eat,milk,/mɪlk/,/mɪlk/,牛奶,n.,Drink some milk.,喝点牛奶。
3,上,5,Unit 5 Let's Eat,water,/ˈwɔːtə/,/ˈwɔːtər/,水,n.,I want some water.,我想喝水。
3,上,5,Unit 5 Let's Eat,fish,/fɪʃ/,/fɪʃ/,鱼,n.,The fish is delicious.,鱼很美味。
3,上,5,Unit 5 Let's Eat,rice,/raɪs/,/raɪs/,米饭,n.,I have rice for lunch.,我午餐吃了米饭。
3,上,6,Unit 6 Happy Birthday,one,/wʌn/,/wʌn/,一,num.,I have one book.,我有一本书。
3,上,6,Unit 6 Happy Birthday,two,/tuː/,/tuː/,二,num.,I see two birds.,我看到两只鸟。
3,上,6,Unit 6 Happy Birthday,three,/θriː/,/θriː/,三,num.,There are three apples.,有三个苹果。
3,上,6,Unit 6 Happy Birthday,four,/fɔː/,/fɔːr/,四,num.,I have four pencils.,我有四支铅笔。
3,上,6,Unit 6 Happy Birthday,five,/faɪv/,/faɪv/,五,num.,She has five fingers.,她有五个手指。
3,上,6,Unit 6 Happy Birthday,six,/sɪks/,/sɪks/,六,num.,There are six days in a week.,一周有六天。
3,上,6,Unit 6 Happy Birthday,seven,/ˈsevn/,/ˈsevn/,七,num.,I see seven stars.,我看到七颗星星。
3,上,6,Unit 6 Happy Birthday,eight,/eɪt/,/eɪt/,八,num.,There are eight people.,有八个人。
3,上,6,Unit 6 Happy Birthday,nine,/naɪn/,/naɪn/,九,num.,I have nine balls.,我有九个球。
3,上,6,Unit 6 Happy Birthday,ten,/ten/,/ten/,十,num.,There are ten fingers.,有十个手指。
3,上,6,Unit 6 Happy Birthday,cake,/keɪk/,/keɪk/,蛋糕,n.,Happy birthday! Let's eat cake.,生日快乐！我们吃蛋糕吧。
